Step,Training Loss,Validation Loss,Bleu
1000,1.7219,1.38277,28.7245
1500,1.7506,1.398325,28.7016
2000,1.9825,1.395685,28.6763
2500,2.1241,1.389101,28.9019
3000,2.1783,1.390327,29.0592
3500,2.098,1.383869,29.1901
4000,2.0543,1.395263,28.6873
4500,2.1105,1.3779,29.3813
5000,2.1623,1.380088,29.1342
5500,2.0758,1.382722,28.9144
6000,2.1188,1.382792,29.2525
6500,2.0746,1.381315,29.3518
7000,2.0952,1.382055,29.3291
7500,2.1224,1.37487,29.6879
8000,2.0744,1.37798,29.1137
8500,2.0886,1.377004,29.328
9000,2.082,1.380615,29.2838
9500,2.1228,1.377854,29.288
10000,2.1325,1.376926,29.2611
10500,2.1515,1.385205,29.254
11000,2.0974,1.374222,29.6186
